year,team,finish
1930,Argentina,Runner-up
1930,Belgium,Group Stage
1930,Bolivia,Group Stage
1930,Brazil,Group Stage
1930,Chile,Group Stage
1930,France,Group Stage
1930,Mexico,Group Stage
1930,Paraguay,Group Stage
1930,Peru,Group Stage
1930,Romania,Group Stage
1930,United States,Semifinal
1930,Uruguay,Champion
1930,Yugoslavia,Semifinal
1934,Argentina,Round of 16
1934,Austria,Fourth Place
1934,Belgium,Round of 16
1934,Brazil,Round of 16
1934,Czechoslovakia,Runner-up
1934,Egypt,Round of 16
1934,France,Round of 16
1934,Germany,Semifinal
1934,Hungary,Quarterfinal
1934,Italy,Champion
1934,Netherlands,Round of 16
1934,Romania,Round of 16
1934,Spain,Quarterfinal
1934,Sweden,Quarterfinal
1934,Switzerland,Quarterfinal
1934,United States,Round of 16
1938,Belgium,Round of 16
1938,Brazil,Third Place
1938,Cuba,Quarterfinal
1938,Czechoslovakia,Quarterfinal
1938,Dutch West Indies,Round of 16
1938,France,Quarterfinal
1938,Germany,Round of 16
1938,Hungary,Runner-up
1938,Italy,Champion
1938,Netherlands,Round of 16
1938,Norway,Round of 16
1938,Poland,Round of 16
1938,Romania,Round of 16
1938,Sweden,Fourth Place
1938,Switzerland,Quarterfinal
1950,Bolivia,Group Stage
1950,Brazil,Runner-up
1950,Chile,Group Stage
1950,England,Group Stage
1950,Italy,Group Stage
1950,Mexico,Group Stage
1950,Paraguay,Group Stage
1950,Spain,Fourth Place
1950,Sweden,Third Place
1950,Switzerland,Group Stage
1950,United States,Group Stage
1950,Uruguay,Champion
1950,Yugoslavia,Group Stage
1954,Austria,Third Place
1954,Belgium,Group Stage
1954,Brazil,Quarterfinal
1954,Czechoslovakia,Group Stage
1954,England,Quarterfinal
1954,France,Group Stage
1954,Hungary,Runner-up
1954,Italy,Group Stage
1954,Mexico,Group Stage
1954,Scotland,Group Stage
1954,South Korea,Group Stage
1954,Switzerland,Quarterfinal
1954,Turkey,Group Stage
1954,Uruguay,Fourth Place
1954,West Germany,Champion
1954,Yugoslavia,Quarterfinal
1958,Argentina,Group Stage
1958,Austria,Group Stage
1958,Brazil,Champion
1958,Czechoslovakia,Group Stage
1958,England,Group Stage
1958,France,Third Place
1958,Hungary,Group Stage
1958,Mexico,Group Stage
1958,Northern Ireland,Quarterfinal
1958,Paraguay,Group Stage
1958,Scotland,Group Stage
1958,Soviet Union,Quarterfinal
1958,Sweden,Runner-up
1958,Wales,Quarterfinal
1958,West Germany,Fourth Place
1958,Yugoslavia,Quarterfinal
1962,Argentina,Group Stage
1962,Brazil,Champion
1962,Bulgaria,Group Stage
1962,Chile,Third Place
1962,Colombia,Group Stage
1962,Czechoslovakia,Runner-up
1962,England,Quarterfinal
1962,Hungary,Quarterfinal
1962,Italy,Group Stage
1962,Mexico,Group Stage
1962,Soviet Union,Quarterfinal
1962,Spain,Group Stage
1962,Switzerland,Group Stage
1962,Uruguay,Group Stage
1962,West Germany,Quarterfinal
1962,Yugoslavia,Fourth Place
1966,Argentina,Quarterfinal
1966,Brazil,Group Stage
1966,Bulgaria,Group Stage
1966,Chile,Group Stage
1966,England,Champion
1966,France,Group Stage
1966,Hungary,Quarterfinal
1966,Italy,Group Stage
1966,Mexico,Group Stage
1966,North Korea,Quarterfinal
1966,Portugal,Third Place
1966,Soviet Union,Fourth Place
1966,Spain,Group Stage
1966,Switzerland,Group Stage
1966,Uruguay,Quarterfinal
1966,West Germany,Runner-up
1970,Belgium,Group Stage
1970,Brazil,Champion
1970,Bulgaria,Group Stage
1970,Czechoslovakia,Group Stage
1970,El Salvador,Group Stage
1970,England,Quarterfinal
1970,Israel,Group Stage
1970,Italy,Runner-up
1970,Mexico,Quarterfinal
1970,Morocco,Group Stage
1970,Peru,Quarterfinal
1970,Romania,Group Stage
1970,Soviet Union,Quarterfinal
1970,Sweden,Group Stage
1970,Uruguay,Fourth Place
1970,West Germany,Third Place
1974,Argentina,Group Stage
1974,Australia,Group Stage
1974,Brazil,Fourth Place
1974,Bulgaria,Group Stage
1974,Chile,Group Stage
1974,East Germany,Group Stage
1974,Haiti,Group Stage
1974,Italy,Group Stage
1974,Netherlands,Runner-up
1974,Poland,Third Place
1974,Scotland,Group Stage
1974,Sweden,Group Stage
1974,Uruguay,Group Stage
1974,West Germany,Champion
1974,Yugoslavia,Group Stage
1974,Zaire,Group Stage
1978,Argentina,Champion
1978,Austria,Group Stage
1978,Brazil,Third Place
1978,France,Group Stage
1978,Hungary,Group Stage
1978,Iran,Group Stage
1978,Italy,Fourth Place
1978,Mexico,Group Stage
1978,Netherlands,Runner-up
1978,Peru,Group Stage
1978,Poland,Group Stage
1978,Scotland,Group Stage
1978,Spain,Group Stage
1978,Sweden,Group Stage
1978,Tunisia,Group Stage
1978,West Germany,Group Stage
1982,Algeria,Group Stage
1982,Argentina,Group Stage
1982,Austria,Group Stage
1982,Belgium,Group Stage
1982,Brazil,Group Stage
1982,Cameroon,Group Stage
1982,Chile,Group Stage
1982,Czechoslovakia,Group Stage
1982,El Salvador,Group Stage
1982,England,Group Stage
1982,France,Fourth Place
1982,Honduras,Group Stage
1982,Hungary,Group Stage
1982,Italy,Champion
1982,Kuwait,Group Stage
1982,New Zealand,Group Stage
1982,Northern Ireland,Group Stage
1982,Peru,Group Stage
1982,Poland,Third Place
1982,Scotland,Group Stage
1982,Soviet Union,Group Stage
1982,Spain,Group Stage
1982,West Germany,Runner-up
1982,Yugoslavia,Group Stage
1986,Algeria,Group Stage
1986,Argentina,Champion
1986,Belgium,Fourth Place
1986,Brazil,Quarterfinal
1986,Bulgaria,Round of 16
1986,Canada,Group Stage
1986,Denmark,Round of 16
1986,England,Quarterfinal
1986,France,Third Place
1986,Hungary,Group Stage
1986,Iraq,Group Stage
1986,Italy,Round of 16
1986,Mexico,Quarterfinal
1986,Morocco,Round of 16
1986,Northern Ireland,Group Stage
1986,Paraguay,Round of 16
1986,Poland,Round of 16
1986,Portugal,Group Stage
1986,Scotland,Group Stage
1986,South Korea,Group Stage
1986,Soviet Union,Round of 16
1986,Spain,Quarterfinal
1986,Uruguay,Round of 16
1986,West Germany,Runner-up
1990,Argentina,Runner-up
1990,Austria,Group Stage
1990,Belgium,Round of 16
1990,Brazil,Round of 16
1990,Cameroon,Quarterfinal
1990,Colombia,Round of 16
1990,Costa Rica,Round of 16
1990,Czechoslovakia,Quarterfinal
1990,Egypt,Group Stage
1990,England,Fourth Place
1990,Italy,Third Place
1990,Netherlands,Round of 16
1990,Republic of Ireland,Quarterfinal
1990,Romania,Round of 16
1990,Scotland,Group Stage
1990,South Korea,Group Stage
1990,Soviet Union,Group Stage
1990,Spain,Round of 16
1990,Sweden,Group Stage
1990,United Arab Emirates,Group Stage
1990,United States,Group Stage
1990,Uruguay,Round of 16
1990,West Germany,Champion
1990,Yugoslavia,Quarterfinal
1994,Argentina,Round of 16
1994,Belgium,Round of 16
1994,Bolivia,Group Stage
1994,Brazil,Champion
1994,Bulgaria,Fourth Place
1994,Cameroon,Group Stage
1994,Colombia,Group Stage
1994,Germany,Quarterfinal
1994,Greece,Group Stage
1994,Italy,Runner-up
1994,Mexico,Round of 16
1994,Morocco,Group Stage
1994,Netherlands,Quarterfinal
1994,Nigeria,Round of 16
1994,Norway,Group Stage
1994,Republic of Ireland,Round of 16
1994,Romania,Quarterfinal
1994,Russia,Group Stage
1994,Saudi Arabia,Round of 16
1994,South Korea,Group Stage
1994,Spain,Quarterfinal
1994,Sweden,Third Place
1994,Switzerland,Round of 16
1994,United States,Round of 16
1998,Argentina,Quarterfinal
1998,Austria,Group Stage
1998,Belgium,Group Stage
1998,Brazil,Runner-up
1998,Bulgaria,Group Stage
1998,Cameroon,Group Stage
1998,Chile,Round of 16
1998,Colombia,Group Stage
1998,Croatia,Third Place
1998,Denmark,Quarterfinal
1998,England,Round of 16
1998,FR Yugoslavia,Round of 16
1998,France,Champion
1998,Germany,Quarterfinal
1998,Iran,Group Stage
1998,Italy,Quarterfinal
1998,Jamaica,Group Stage
1998,Japan,Group Stage
1998,Mexico,Round of 16
1998,Morocco,Group Stage
1998,Netherlands,Fourth Place
1998,Nigeria,Round of 16
1998,Norway,Round of 16
1998,Paraguay,Round of 16
1998,Romania,Round of 16
1998,Saudi Arabia,Group Stage
1998,Scotland,Group Stage
1998,Serbia,Group Stage
1998,South Africa,Group Stage
1998,South Korea,Group Stage
1998,Spain,Group Stage
1998,Tunisia,Group Stage
1998,United States,Group Stage
2002,Argentina,Group Stage
2002,Belgium,Round of 16
2002,Brazil,Champion
2002,Cameroon,Group Stage
2002,China PR,Group Stage
2002,Costa Rica,Group Stage
2002,Croatia,Group Stage
2002,Denmark,Round of 16
2002,Ecuador,Group Stage
2002,England,Quarterfinal
2002,France,Group Stage
2002,Germany,Runner-up
2002,Italy,Round of 16
2002,Japan,Round of 16
2002,Mexico,Round of 16
2002,Nigeria,Group Stage
2002,Paraguay,Round of 16
2002,Poland,Group Stage
2002,Portugal,Group Stage
2002,Republic of Ireland,Round of 16
2002,Russia,Group Stage
2002,Saudi Arabia,Group Stage
2002,Senegal,Quarterfinal
2002,Slovenia,Group Stage
2002,South Africa,Group Stage
